,temp,dew,humidity,windspeed,sealevelpressure,moonphase,Year,Month,Date_split,winddir
123,29.6,22.5,67.1,18.4,,0.69,2007,04,09,
124,32.1,18.1,47.45,14.8,,0.69,2007,04,09,
125,31.3,6.4,22.79,25.9,1006.7,0.69,2007,04,09,
126,26.6,11.9,47.17,27.7,,0.69,2007,04,09,
127,29.5,11.7,34.0,18.4,,0.69,2007,04,09,
128,29.8,19.4,55.61,11.2,1006.9,0.69,2007,04,09,
129,29.5,11.7,34.0,18.4,,0.69,2007,04,09,
130,29.8,18.2,50.86,18.4,,0.69,2007,04,09,
131,28.9,11.8,38.69,25.9,1006.5,0.69,2007,04,09,
132,29.6,15.7,46.37,18.4,1005.1,0.69,2007,04,09,
133,29.6,12.2,38.15,7.6,1008.2,0.69,2007,04,09,
134,30.5,18.8,57.58,7.6,1008.1,0.69,2007,04,09,
135,33.7,13.1,30.99,13.0,,0.74,2007,04,10,
136,27.5,15.9,53.69,14.8,,0.74,2007,04,10,
137,28.9,13.0,40.28,22.3,1007.4,0.74,2007,04,10,
138,29.3,23.6,72.69,22.3,,0.74,2007,04,10,
139,30.8,19.8,55.37,14.8,,0.74,2007,04,10,
140,29.8,4.8,21.45,7.6,1007.4,0.74,2007,04,10,
141,29.8,6.5,28.39,29.5,,0.74,2007,04,10,
142,30.2,12.1,35.57,22.3,,0.74,2007,04,10,
143,27.7,22.7,75.7,11.2,1007.6,0.74,2007,04,10,
144,30.2,12.1,35.57,22.3,,0.74,2007,04,10,
145,29.2,17.6,49.88,16.6,,0.74,2007,04,10,
146,31.1,10.8,31.04,27.7,1005.5,0.74,2007,04,10,
147,30.0,14.6,43.86,18.4,1005.3,0.74,2007,04,10,
148,30.3,11.7,36.51,5.4,1007.7,0.74,2007,04,10,
149,31.0,18.7,56.3,5.4,1008.1,0.74,2007,04,10,
150,34.2,10.2,24.37,18.4,,0.79,2007,04,11,
151,27.8,17.9,57.43,20.5,,0.79,2007,04,11,
152,30.7,11.2,31.67,20.5,1005.0,0.79,2007,04,11,
153,29.5,23.0,69.02,18.4,,0.79,2007,04,11,
154,30.7,19.9,55.54,14.8,,0.79,2007,04,11,
155,30.4,3.1,19.51,25.9,1005.3,0.79,2007,04,11,
156,32.5,2.3,17.03,27.7,,0.79,2007,04,11,
157,30.9,12.0,33.57,14.8,,0.79,2007,04,11,
158,30.4,24.0,70.4,7.6,1005.9,0.79,2007,04,11,
159,30.9,12.0,33.57,14.8,,0.79,2007,04,11,
160,29.7,17.3,48.38,22.3,,0.79,2007,04,11,
161,31.4,11.0,31.07,27.7,1003.9,0.79,2007,04,11,
162,27.6,19.2,62.67,18.4,1005.3,0.79,2007,04,11,
163,29.8,11.5,36.31,9.4,1007.0,0.79,2007,04,11,
164,30.7,19.4,57.05,7.6,1007.4,0.79,2007,04,11,
165,32.3,14.3,37.88,16.6,,0.85,2007,04,12,
166,27.6,17.3,56.53,22.3,,0.85,2007,04,12,
167,31.7,11.0,29.19,27.7,1004.3,0.85,2007,04,12,
168,30.0,23.0,66.95,18.4,,0.85,2007,04,12,
169,30.7,18.9,51.4,11.2,,0.85,2007,04,12,
170,31.7,4.1,19.13,9.4,1004.8,0.85,2007,04,12,
171,32.9,4.3,18.3,18.4,,0.85,2007,04,12,
172,30.0,16.4,44.77,18.4,,0.85,2007,04,12,
173,28.8,22.9,71.6,16.6,1006.0,0.85,2007,04,12,
174,30.0,16.4,44.77,18.4,,0.85,2007,04,12,
175,28.9,17.0,49.59,24.1,,0.85,2007,04,12,
176,32.4,11.4,30.47,25.9,1003.9,0.85,2007,04,12,
177,26.6,20.3,69.75,22.3,1006.2,0.85,2007,04,12,
178,29.4,11.2,36.98,7.6,1006.7,0.85,2007,04,12,
179,29.6,19.4,58.1,7.6,1007.2,0.85,2007,04,12,
180,33.0,17.8,43.84,14.8,,0.9,2007,04,13,
181,25.8,18.1,65.47,18.4,,0.9,2007,04,13,
182,31.5,12.0,31.13,18.4,1005.8,0.9,2007,04,13,
183,29.9,23.5,69.1,14.8,,0.9,2007,04,13,
184,32.1,18.9,48.57,11.2,,0.9,2007,04,13,
185,30.0,3.8,20.45,9.4,1006.6,0.9,2007,04,13,
186,34.1,5.5,18.1,18.4,,0.9,2007,04,13,
187,30.2,19.6,53.98,22.3,,0.9,2007,04,13,
188,27.2,22.3,75.73,5.4,1009.1,0.9,2007,04,13,
189,30.2,19.6,53.98,22.3,,0.9,2007,04,13,
190,28.2,16.3,49.1,14.8,,0.9,2007,04,13,
191,32.3,11.1,30.26,16.6,1005.6,0.9,2007,04,13,
192,27.7,18.8,61.04,20.5,1008.0,0.9,2007,04,13,
193,27.6,10.2,37.67,7.6,1007.4,0.9,2007,04,13,
194,28.1,22.6,73.96,7.6,1008.1,0.9,2007,04,13,
195,33.5,18.8,46.72,14.8,,0.94,2007,04,14,
196,25.9,19.1,67.88,27.7,,0.94,2007,04,14,
197,32.5,11.8,29.34,24.1,1006.5,0.94,2007,04,14,
198,29.1,23.0,70.92,22.3,,0.94,2007,04,14,
199,31.7,15.7,39.89,18.4,,0.94,2007,04,14,
200,31.1,5.5,22.3,22.3,1007.1,0.94,2007,04,14,
201,33.2,7.2,21.83,14.8,,0.94,2007,04,14,
202,30.6,20.1,55.17,22.3,,0.94,2007,04,14,
203,29.7,24.7,75.63,7.6,1009.4,0.94,2007,04,14,
204,30.6,20.1,55.17,22.3,,0.94,2007,04,14,
205,28.4,16.0,47.6,20.5,,0.94,2007,04,14,
206,33.4,15.7,38.22,18.4,1007.1,0.94,2007,04,14,
207,29.8,21.4,61.57,22.3,1008.7,0.94,2007,04,14,
208,29.7,10.8,35.62,7.6,1007.6,0.94,2007,04,14,
209,28.3,23.8,80.48,5.4,1008.1,0.94,2007,04,14,
210,35.4,16.0,34.33,13.0,,0.98,2007,04,15,
211,26.2,17.3,61.51,18.4,,0.98,2007,04,15,
212,32.8,13.6,31.46,18.4,1006.1,0.98,2007,04,15,
213,29.0,22.6,69.94,18.4,,0.98,2007,04,15,
214,31.8,17.9,45.76,14.8,,0.98,2007,04,15,
215,32.6,3.1,16.89,20.5,1005.8,0.98,2007,04,15,
216,34.2,5.4,19.09,27.7,,0.98,2007,04,15,
217,31.6,20.5,53.59,18.4,,0.98,2007,04,15,
218,29.9,24.3,73.78,9.4,1009.4,0.98,2007,04,15,
219,31.6,20.5,53.59,18.4,,0.98,2007,04,15,
220,28.6,16.9,49.93,18.4,,0.98,2007,04,15,
221,34.4,19.0,46.05,9.4,1006.9,0.98,2007,04,15,
222,31.6,21.9,57.6,14.8,1008.2,0.98,2007,04,15,
223,28.4,12.4,42.87,11.2,1007.6,0.98,2007,04,15,
224,28.5,24.1,78.39,5.4,1008.2,0.98,2007,04,15,
225,36.4,16.3,32.66,20.5,,1.0,2007,04,16,
226,27.1,15.9,53.78,14.8,,1.0,2007,04,16,
227,31.3,15.8,40.18,18.4,1005.1,1.0,2007,04,16,
228,29.3,22.2,66.93,18.4,,1.0,2007,04,16,
229,30.2,17.5,48.31,18.4,,1.0,2007,04,16,
230,32.2,6.6,22.04,20.5,1005.2,1.0,2007,04,16,
231,36.3,8.5,19.51,18.4,,1.0,2007,04,16,
232,32.2,20.8,52.6,18.4,,1.0,2007,04,16,
233,30.0,23.0,68.69,9.4,1008.8,1.0,2007,04,16,
234,32.2,20.8,52.6,18.4,,1.0,2007,04,16,
235,29.3,15.7,44.17,20.5,,1.0,2007,04,16,
236,34.0,20.8,48.85,24.7,1005.8,1.0,2007,04,16,
237,32.1,20.6,51.6,9.4,1006.8,1.0,2007,04,16,
238,26.0,15.1,54.45,14.8,1008.5,1.0,2007,04,16,
239,30.2,23.8,71.98,9.4,1007.7,1.0,2007,04,16,
240,35.7,14.8,30.6,18.4,,0.0,2007,04,17,
241,26.0,18.1,62.95,18.4,,0.0,2007,04,17,
242,33.8,16.4,36.67,18.4,1003.8,0.0,2007,04,17,
243,29.4,22.1,66.12,18.4,,0.0,2007,04,17,
244,30.3,18.3,49.74,14.8,,0.0,2007,04,17,
245,33.5,8.7,23.36,25.9,1003.8,0.0,2007,04,17,
246,35.2,9.9,23.7,18.4,,0.0,2007,04,17,
247,32.6,19.2,47.87,22.3,,0.0,2007,04,17,
248,30.4,23.4,68.41,7.6,1008.4,0.0,2007,04,17,
249,32.6,19.2,47.87,22.3,,0.0,2007,04,17,
250,29.0,15.6,44.82,22.3,,0.0,2007,04,17,
251,34.2,21.7,50.7,16.6,1003.6,0.0,2007,04,17,
252,31.3,20.8,54.91,18.4,1005.9,0.0,2007,04,17,
253,27.5,15.1,53.52,5.4,1007.5,0.0,2007,04,17,
254,29.5,24.5,75.96,7.6,1006.7,0.0,2007,04,17,
255,35.2,17.1,36.43,16.6,,0.01,2007,04,18,
256,26.6,18.2,62.76,14.8,,0.01,2007,04,18,
257,30.5,15.7,42.03,18.4,1006.6,0.01,2007,04,18,
258,29.8,23.3,69.09,18.4,,0.01,2007,04,18,
259,30.3,19.5,53.81,14.8,,0.01,2007,04,18,
260,31.4,9.5,27.54,25.9,1005.7,0.01,2007,04,18,
261,33.8,9.6,23.29,22.3,,0.01,2007,04,18,
262,30.5,17.9,48.17,22.3,,0.01,2007,04,18,
263,30.5,23.3,67.07,7.6,1009.6,0.01,2007,04,18,
264,30.5,17.9,48.17,22.3,,0.01,2007,04,18,
265,29.1,16.5,46.79,20.5,,0.01,2007,04,18,
266,31.7,20.3,51.6,37.1,1007.8,0.01,2007,04,18,
267,32.1,20.7,53.55,11.2,1008.2,0.01,2007,04,18,
268,29.9,16.6,50.7,7.6,1007.6,0.01,2007,04,18,
269,28.7,24.5,78.86,5.4,1007.9,0.01,2007,04,18,
270,35.9,17.8,37.2,13.0,,0.03,2007,04,19,
271,25.4,19.4,72.99,7.6,,0.03,2007,04,19,
